 number depth  thick-   composition of target (2:ncp); qu(1)=1-sum(qu(2:ncp)
 interval      ness          qu_2   ...
    1    0.20000E+03    0.51555E+00   0.47383
    1    0.20000E+03    0.43588E+00   0.53215
    1    0.20000E+03    0.37743E+00   0.58212
    1    0.20000E+03    0.36600E+00   0.58791
    1    0.20000E+03    0.33299E+00   0.61606
    1    0.20000E+03    0.31122E+00   0.63843
    1    0.20000E+03    0.31029E+00   0.63962
    1    0.20000E+03    0.29411E+00   0.66440
    1    0.20000E+03    0.29433E+00   0.67080
    1    0.20000E+03    0.30210E+00   0.67164
    1    0.20000E+03    0.31331E+00   0.67205
    1    0.20000E+03    0.31733E+00   0.67840
    1    0.20000E+03    0.32308E+00   0.67538
    1    0.20000E+03    0.32398E+00   0.67551
    1    0.20000E+03    0.33063E+00   0.66911
    1    0.20000E+03    0.33268E+00   0.66721
    1    0.20000E+03    0.33147E+00   0.66851
    1    0.20000E+03    0.33174E+00   0.66826
    1    0.20000E+03    0.33248E+00   0.66752
    1    0.20000E+03    0.33332E+00   0.66668
    1    0.20000E+03    0.33287E+00   0.66713
    1    0.20000E+03    0.33288E+00   0.66712
    1    0.20000E+03    0.33323E+00   0.66677
    1    0.20000E+03    0.33333E+00   0.66667
    1    0.20000E+03    0.33333E+00   0.66667
    1    0.20000E+03    0.33333E+00   0.66667
    1    0.20000E+03    0.33333E+00   0.66667
    1    0.20000E+03    0.33333E+00   0.66667
    1    0.20000E+03    0.33333E+00   0.66667
    1    0.20000E+03    0.33333E+00   0.66667
    0    0.00000E+00    0.00000E+00   0.00000
