depth,C,C_sd,N,N_sd,O,O_sd,Kr,Kr_sd,Zr,Zr_sd,Hf,Hf_sd,
-475.0,0.0007,0.0007,0.0,0.0,0.005,0.0019,0.0,0.0,0.003,0.0021,0.0004,0.0004,
-275.0,0.0,0.0,0.0,0.0,0.0132,0.005,0.0004,0.0004,0.0131,0.0032,0.0006,0.0006,
-75.0,0.0024,0.0024,0.0022,0.0022,0.2384,0.041,0.0005,0.0019,0.1491,0.0189,0.003,0.0017,
125.0,0.001,0.001,0.0037,0.0027,0.6719,0.0379,0.0025,0.0082,0.3113,0.0196,0.0029,0.001,
325.0,0.0013,0.0013,0.0032,0.0032,0.6812,0.0349,0.0041,0.0106,0.2934,0.0177,0.0032,0.0013,
525.0,0.0013,0.0013,0.0038,0.0022,0.6863,0.0344,-0.0011,0.0124,0.2873,0.0171,0.0028,0.0011,
725.0,0.0016,0.0011,0.002,0.002,0.6745,0.0346,0.0009,0.0111,0.2999,0.0181,0.0035,0.0013,
925.0,0.0006,0.0006,0.004,0.0018,0.6797,0.0346,0.0138,0.006,0.2933,0.0175,0.0025,0.0013,
1125.0,0.0018,0.0013,0.0067,0.0024,0.6703,0.0344,0.0086,0.0054,0.3013,0.018,0.0025,0.0011,
1325.0,0.0009,0.0009,0.0059,0.0034,0.6782,0.0324,0.0066,0.0063,0.2965,0.0167,0.0025,0.0014,
1525.0,0.002,0.0012,0.0027,0.0019,0.6811,0.0322,0.0061,0.0095,0.2964,0.0163,0.0028,0.0012,
1725.0,0.0011,0.0011,0.0058,0.0029,0.6788,0.0332,0.0059,0.0068,0.2976,0.0169,0.0046,0.0016,
1925.0,0.0012,0.0012,0.0062,0.0036,0.6845,0.0334,0.0045,0.0053,0.2935,0.0164,0.0043,0.0019,
2125.0,0.0018,0.0018,0.0027,0.0016,0.698,0.0335,0.0012,0.0056,0.286,0.0162,0.0034,0.0015,
2325.0,0.0006,0.0006,0.0019,0.001,0.7061,0.034,-0.0023,0.0046,0.279,0.016,0.0051,0.0017,
2525.0,0.0012,0.0009,0.0028,0.002,0.6949,0.0344,0.002,0.0044,0.2885,0.0173,0.0051,0.0019,
2725.0,0.0006,0.0006,0.0042,0.003,0.6778,0.0338,0.004,0.0047,0.3031,0.0174,0.0062,0.0024,
2925.0,0.0023,0.0016,0.0033,0.0019,0.6729,0.0347,-0.0036,0.0094,0.3058,0.0173,0.0066,0.0016,
3125.0,0.0018,0.0013,0.0062,0.0036,0.6645,0.0358,-0.0053,0.0072,0.3134,0.0182,0.005,0.0018,
3325.0,0.0027,0.0027,0.0007,0.0007,0.6609,0.0365,-0.0038,0.0059,0.3213,0.0198,0.0052,0.0021,
3525.0,0.0046,0.0023,0.0,0.0,0.6381,0.0368,0.0012,0.0036,0.3453,0.0201,0.0061,0.002,
3725.0,0.003,0.0021,0.0,0.0,0.6333,0.0394,-0.0011,0.0072,0.3532,0.0219,0.0049,0.0016,
3925.0,0.0,0.0,0.0,0.0,0.5923,0.0378,-0.0005,0.0088,0.3907,0.024,0.0094,0.0031,
4125.0,0.0,0.0,0.0,0.0,0.5521,0.0407,0.0009,0.0054,0.4252,0.0277,0.0126,0.0029,
4325.0,0.0,0.0,0.0,0.0,0.5014,0.0422,-0.0032,0.0111,0.4778,0.0317,0.0096,0.0034,
4525.0,0.0,0.0,0.0,0.0,0.3059,0.029,-0.0008,0.0121,0.6702,0.0442,0.0087,0.0027,
4725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046,0.0192,0.9776,0.065,0.0018,0.0009,
