depth,C,C_sd,N,N_sd,O,O_sd,Zr,Zr_sd,Xe,Xe_sd,Hf,Hf_sd,
-475.0,0.0,0.0,0.0,0.0,0.004,0.0018,0.002,0.0014,0.0004,0.0004,0.0,0.0,
-275.0,0.0,0.0,0.0,0.0,0.0116,0.0058,0.0112,0.0042,0.0,0.0,0.0002,0.0002,
-75.0,0.0025,0.0025,0.0008,0.0008,0.2734,0.0465,0.1726,0.0246,0.0019,0.0019,0.0033,0.0024,
125.0,0.0028,0.0011,0.004,0.002,0.6806,0.0402,0.3028,0.0208,0.0056,0.0032,0.0042,0.0017,
325.0,0.0019,0.0019,0.0057,0.0026,0.6791,0.0375,0.304,0.0191,0.0055,0.0025,0.0038,0.0017,
525.0,0.0011,0.0011,0.0049,0.0035,0.6722,0.038,0.313,0.0203,0.0056,0.0028,0.0032,0.0014,
725.0,0.0026,0.0015,0.0017,0.0017,0.672,0.0367,0.3157,0.0201,0.0051,0.0029,0.0028,0.0014,
925.0,0.0007,0.0005,0.0034,0.0024,0.69,0.0386,0.2983,0.0193,0.0033,0.0017,0.0042,0.0015,
1125.0,0.0014,0.0014,0.0036,0.0015,0.6884,0.0366,0.3003,0.0181,0.0035,0.0013,0.0028,0.0013,
1325.0,0.0015,0.001,0.0037,0.0026,0.6923,0.0374,0.2986,0.0186,0.0013,0.0008,0.0026,0.0008,
1525.0,0.001,0.0007,0.0037,0.0026,0.6906,0.0366,0.2998,0.0179,0.0012,0.0007,0.0037,0.0021,
1725.0,0.0013,0.0013,0.0053,0.0022,0.6946,0.0375,0.295,0.0181,0.0005,0.0005,0.0032,0.0013,
1925.0,0.0013,0.0013,0.007,0.0032,0.6945,0.0361,0.293,0.0179,0.0003,0.0003,0.0037,0.0015,
2125.0,0.0013,0.0013,0.0036,0.0015,0.693,0.0349,0.2979,0.0175,0.0003,0.0003,0.0039,0.0012,
2325.0,0.0014,0.0014,0.004,0.0017,0.6995,0.0359,0.2915,0.0176,0.0002,0.0002,0.0034,0.0014,
2525.0,0.001,0.001,0.0022,0.0022,0.6915,0.0361,0.2997,0.018,0.0005,0.0005,0.005,0.0021,
2725.0,0.0031,0.0022,0.0057,0.0025,0.6921,0.036,0.2919,0.0178,0.0007,0.0007,0.0066,0.0019,
2925.0,0.0026,0.0018,0.0057,0.0023,0.6808,0.0361,0.3056,0.0188,0.0002,0.0002,0.0051,0.0026,
3125.0,0.0016,0.0016,0.005,0.0021,0.6713,0.0366,0.3153,0.0198,0.0002,0.0002,0.0066,0.0018,
3325.0,0.0021,0.0021,0.0011,0.0008,0.6539,0.0377,0.3364,0.0211,0.0,0.0,0.0065,0.0025,
3525.0,0.0044,0.0031,0.0,0.0,0.649,0.0404,0.3398,0.0224,0.0002,0.0002,0.0066,0.0027,
3725.0,0.0016,0.0016,0.0,0.0,0.6232,0.0398,0.3684,0.0248,0.0,0.0,0.0068,0.0028,
3925.0,0.0,0.0,0.0,0.0,0.6127,0.042,0.3732,0.0247,0.0,0.0,0.0141,0.0036,
4125.0,0.0,0.0,0.0,0.0,0.5638,0.0412,0.4219,0.0278,0.0,0.0,0.0143,0.0032,
4325.0,0.0,0.0,0.0,0.0,0.4976,0.0462,0.4888,0.0356,0.0,0.0,0.0136,0.004,
4525.0,0.0,0.0,0.0,0.0,0.3086,0.0313,0.6769,0.0465,0.0,0.0,0.0145,0.0038,
4725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998,0.0728,0.0,0.0,0.002,0.001,
