depth,C,C_sd,N,N_sd,O,O_sd,Kr,Kr_sd,Zr,Zr_sd,Hf,Hf_sd,
-475.0,0.0,0.0,0.0,0.0,0.0064,0.0037,0.0004,0.0004,0.0026,0.0013,0.0,0.0,
-275.0,0.0,0.0,0.0,0.0,0.0117,0.0068,0.0012,0.0012,0.0088,0.003,0.0005,0.0005,
-75.0,0.0061,0.0061,0.0017,0.0017,0.2785,0.0593,0.0053,0.0069,0.1244,0.025,0.0028,0.0029,
125.0,0.0046,0.0046,0.0024,0.0024,0.7013,0.0536,0.032,0.0122,0.2447,0.0241,0.0025,0.0018,
325.0,0.0046,0.0032,0.0032,0.0022,0.6922,0.0482,0.0466,0.0115,0.2401,0.0216,0.0019,0.0019,
525.0,0.0062,0.0036,0.0041,0.0029,0.6678,0.0458,0.0511,0.0117,0.2558,0.0226,0.0045,0.0017,
725.0,0.0026,0.0019,0.0015,0.0015,0.6564,0.0446,0.0543,0.0114,0.2705,0.0225,0.0036,0.0014,
925.0,0.0037,0.0037,0.0029,0.0029,0.6751,0.044,0.0374,0.0092,0.2666,0.0214,0.0022,0.0022,
1125.0,0.0057,0.0033,0.0057,0.0057,0.6614,0.0439,0.0269,0.009,0.284,0.0235,0.0024,0.0017,
1325.0,0.0051,0.0036,0.0023,0.0024,0.6817,0.0434,0.0269,0.0074,0.2718,0.0209,0.0024,0.0012,
1525.0,0.0029,0.0029,0.0018,0.0018,0.6792,0.0412,0.0128,0.0067,0.2886,0.0213,0.0023,0.0013,
1725.0,0.0059,0.0026,0.0045,0.0026,0.6806,0.043,0.0123,0.0075,0.2833,0.0218,0.0035,0.0016,
1925.0,0.0033,0.0019,0.0026,0.0026,0.6823,0.0423,0.0095,0.0058,0.2881,0.0209,0.0039,0.0023,
2125.0,0.001,0.001,0.0031,0.0032,0.7037,0.0426,0.0072,0.0046,0.2753,0.0203,0.0036,0.0026,
2325.0,0.0056,0.0025,0.0033,0.0019,0.6848,0.0434,0.0021,0.0057,0.2903,0.0217,0.0023,0.001,
2525.0,0.0056,0.0028,0.0074,0.0033,0.6841,0.0427,0.0011,0.0053,0.2858,0.0211,0.0043,0.003,
2725.0,0.007,0.0031,0.0059,0.0042,0.6811,0.0438,0.0007,0.0064,0.2851,0.0217,0.0053,0.0017,
2925.0,0.0072,0.0051,0.0041,0.0024,0.6574,0.0442,0.0014,0.0075,0.3109,0.0225,0.0052,0.0037,
3125.0,0.0065,0.0065,0.0,0.0,0.6629,0.0453,-0.0095,0.0073,0.3149,0.0246,0.007,0.0029,
3325.0,0.0126,0.0052,0.0,0.0,0.6552,0.0476,-0.0033,0.0081,0.3068,0.024,0.0079,0.0022,
3525.0,0.0118,0.0053,0.0,0.0,0.6213,0.0466,-0.0054,0.008,0.3462,0.0263,0.0064,0.0026,
3725.0,0.0314,0.0085,0.0,0.0,0.5989,0.0477,-0.0031,0.0063,0.3494,0.0272,0.0101,0.0034,
3925.0,0.034,0.0171,0.0,0.0,0.5358,0.0472,0.001,0.0081,0.4079,0.0327,0.0113,0.0029,
4125.0,0.0481,0.0147,0.0,0.0,0.4992,0.0502,-0.0093,0.0083,0.4302,0.0349,0.0134,0.0043,
4325.0,0.0219,0.009,0.0,0.0,0.4612,0.0495,-0.003,0.0067,0.4958,0.044,0.0084,0.0028,
4525.0,0.0,0.0,0.0,0.0,0.3822,0.0478,0.003,0.0021,0.6148,0.0511,0.0,0.0,
4725.0,0.0,0.0,0.0,0.0,0.0835,0.0222,0.0,0.0,0.9165,0.0836,0.0,0.0,
