depth,C,C_sd,N,N_sd,O,O_sd,Zr,Zr_sd,Xe,Xe_sd,Hf,Hf_sd,
-475.0,0.0,0.0,0.0,0.0,0.0046,0.0023,0.0039,0.002,0.0007,0.0007,0.0003,0.0003,
-275.0,0.0,0.0,0.0,0.0,0.0132,0.0132,0.0091,0.0091,0.0052,0.0037,0.0006,0.0006,
-75.0,0.0046,0.0046,0.0012,0.0012,0.3412,0.0684,0.1944,0.0343,0.0232,0.0078,0.0047,0.0034,
125.0,0.0019,0.0019,0.0035,0.0035,0.6522,0.0486,0.3044,0.0256,0.0359,0.0078,0.0021,0.0015,
325.0,0.0006,0.0006,0.0011,0.0011,0.6454,0.0449,0.3075,0.024,0.0422,0.0076,0.0031,0.0022,
525.0,0.0,0.0,0.0022,0.0016,0.6654,0.0459,0.2942,0.0245,0.0357,0.0064,0.0025,0.0018,
725.0,0.0017,0.0012,0.0005,0.0005,0.6716,0.0462,0.3007,0.0232,0.0212,0.0048,0.0042,0.0017,
925.0,0.0011,0.0011,0.002,0.002,0.6597,0.0446,0.3214,0.0242,0.0118,0.0038,0.0041,0.0024,
1125.0,0.0005,0.0005,0.0019,0.0019,0.6711,0.0442,0.3163,0.025,0.0061,0.0023,0.004,0.0018,
1325.0,0.0005,0.0005,0.0045,0.0045,0.6774,0.0414,0.3098,0.0223,0.0044,0.0022,0.0033,0.0033,
1525.0,0.0005,0.0005,0.0023,0.0016,0.6744,0.0431,0.3155,0.0225,0.0023,0.0016,0.005,0.0035,
1725.0,0.001,0.001,0.0028,0.0016,0.6751,0.0456,0.3131,0.024,0.0026,0.0015,0.0054,0.0017,
1925.0,0.0,0.0,0.0027,0.0027,0.6904,0.0454,0.2998,0.022,0.0018,0.0008,0.0052,0.0018,
2125.0,0.001,0.0007,0.0037,0.0037,0.6971,0.0448,0.2937,0.0224,0.0013,0.0013,0.0031,0.0031,
2325.0,0.001,0.001,0.0031,0.0018,0.698,0.0437,0.2923,0.0219,0.0007,0.0004,0.0048,0.0024,
2525.0,0.003,0.0021,0.0055,0.0039,0.6887,0.0441,0.2975,0.0219,0.0007,0.0008,0.0045,0.0017,
2725.0,0.0042,0.0042,0.0033,0.0024,0.6952,0.045,0.2901,0.0218,0.002,0.0012,0.0051,0.0023,
2925.0,0.0028,0.0016,0.0015,0.0011,0.6741,0.0449,0.3133,0.0229,0.0008,0.0006,0.0075,0.0028,
3125.0,0.0023,0.0023,0.0,0.0,0.6768,0.0465,0.3109,0.0231,0.0008,0.0006,0.0091,0.0032,
3325.0,0.0039,0.0039,0.0,0.0,0.6565,0.0463,0.3334,0.025,0.0012,0.0012,0.005,0.0019,
3525.0,0.0194,0.0097,0.0,0.0,0.617,0.048,0.3542,0.0262,0.0006,0.0006,0.0088,0.0031,
3725.0,0.0268,0.0086,0.0,0.0,0.5984,0.0499,0.3627,0.0295,0.0017,0.0017,0.0104,0.0035,
3925.0,0.0272,0.0091,0.0,0.0,0.584,0.0493,0.3789,0.0301,0.0023,0.0023,0.0076,0.0034,
4125.0,0.0291,0.0111,0.0,0.0,0.5192,0.0509,0.4423,0.0371,0.0016,0.0011,0.0078,0.0045,
4325.0,0.013,0.0047,0.0,0.0,0.4822,0.0507,0.5003,0.0425,0.0005,0.0005,0.004,0.0016,
4525.0,0.0,0.0,0.0,0.0,0.3281,0.0437,0.6719,0.0578,0.0,0.0,0.0,0.0,
4725.0,0.0,0.0,0.0,0.0,0.0256,0.0087,0.9744,0.0873,0.0,0.0,0.0,0.0,
